alt_slug;unser_slug;gemeinde;an_der
granzin-hagenow;granzin;Granzin;
greifswald-hansestadt;greifswald;Greifswald;
hagen-westfalen;hagen;Hagen;
hagenow-heide;hagenow;Hagenow;
hamberge-grevesmuehlen;hamberge;Hamberge;
hamm-westfalen;hamm;Hamm;
haselbach-soeldhaus;eschach;Eschach;
heide-holstein;heide;Heide;
heppenheim-bergstrasse;heppenheim;Heppenheim;
herborn-hessen;herborn;Herborn;
himmelweiler;himmelkron;Himmelkron;
hoechstadt-aisch;hoechstadt-an-der-aisch;Höchstadt an der Aisch;ja
hof-saale;hof;Hof;
hofheim-unterfranken;hofheim-in-unterfranken;Hofheim in Unterfranken;
hude-oldenburg;hude-03458010;Hude;
huetten-haldensleben;altenhausen;Altenhausen;
husum-nordsee;husum;Husum;
karlstadt;karlstadt-am-main;Karlstadt am Main;
kempten-allgaeu;kempten;Kempten;
kleve-niederrhein;kleve-05154036;Kleve;
koethen-anhalt;koethen;Köthen;
krumbach-schwaben;krumbach;Krumbach;
lahr-schwarzwald;lahrschwarzwald;Lahr/Schwarzwald;
lambrecht-pfalz;lambrecht;Lambrecht;
landau-isar;landau-an-der-isar;Landau an der Isar;ja
langen-hessen;langen;Langen;
langenfeld-rheinland;langenfeld-07137060;Langenfeld;
langenhagen-hannover;langenhagen;Langenhagen;
lauf-pegnitz;lauf-an-der-pegnitz;Lauf an der Pegnitz;ja
lauterbach-hessen;lauterbach-06535011;Lauterbach;
leer-ostfriesland;leer;Leer;
leichlingen-rheinland;leichlingen;Leichlingen;
leonberg-wuerttemberg;leonberg;Leonberg;
lichtenberg-neuruppin;temnitztal;Temnitztal;
lichtenfels-bayern;lichtenfels;Lichtenfels;
limburg;limburg-an-der-lahn;Limburg an der Lahn;ja
lindau-anhalt;zoerbig;Zörbig;
lindau-bodensee;lindau;Lindau;
lingen-ems;lingen;Lingen;
linz;linz-am-rhein;Linz am Rhein;
loebnitz-an-der-linde;zoerbig;Zörbig;
lohr-main;lohr-am-main;Lohr am Main;
luechow-wendland;luechow-03354018;Lüchow;
machern-mosel;machern;Machern;
mainz-kastel;mainz;Mainz;
mainz-kostheim;mainz;Mainz;
marl-westfalen;marl;Marl;
meckenheim-rheinland;meckenheim;Meckenheim;
minden-westfalen;minden;Minden;
moosburg-isar;moosburg-an-der-isar;Moosburg an der Isar;ja
muehldorf-inn;muehldorf-am-inn;Mühldorf am Inn;
muehlhausen-thueringen;muehlhausenthueringen;Mühlhausen/Thüringen;
muellheim;muellheim-im-markgraeflerland;Müllheim im Markgräflerland;
muenchen-flughafen;muenchen;München;
muenster-westfalen;muenster-05515000;Münster;
naumburg-saale;naumburg;Naumburg;
neu-bleckede;lueneburg;Lüneburg;
neuburg-donau;neuburg-an-der-donau;Neuburg an der Donau;ja
neumarkt-oberpfalz;neumarkt-in-der-oberpfalz;Neumarkt in der Oberpfalz;ja
neundorf-plauen;neustadtvogtl;Neustadt/Vogtl.;
neunkirchen-saar;neunkirchen-10043114;Neunkirchen;
neustadt-aisch;neustadt-an-der-aisch;Neustadt an der Aisch;ja
neustadt-waldnaab;neustadt-an-der-waldnaab;Neustadt an der Waldnaab;ja
nienburg-weser;nienburgweser;Nienburg/Weser;
oberhausen-rheinland;oberhausen-05119000;Oberhausen;
obernburg-main;obernburg-am-main;Obernburg am Main;
oelsnitz-vogtland;oelsnitzvogtl;Oelsnitz/Vogtl.;
oldenburg-oldb;oldenburg;Oldenburg;
ottendorf-sebnitz;tharandt;Tharandt;
pfaffenhofen-ilm;pfaffenhofen-an-der-ilm;Pfaffenhofen an der Ilm;ja
rheinsberg-glienicke;rheinsberg;Rheinsberg;
rosenheim-oberbayern;rosenheim;Rosenheim;
rotenburg-fulda;rotenburg-an-der-fulda;Rotenburg an der Fulda;ja
rotenburg-wuemme;rotenburg;Rotenburg;
roth-mittelfranken;roth;Roth;
rottenburg-laaber;landshut;Landshut;
ruesselsheim;ruesselsheim-am-main;Rüsselsheim am Main;
saalfeld-saale;saalfeldsaale;Saalfeld/Saale;
salzwedel-hansestadt;salzwedel;Salzwedel;
schlegel-zittau;schlegel;Schlegel;
schoenborn-dresden;dresden;Dresden;
schoenebeck-elbe;schoenebeck;Schönebeck;
schoenfeld-westprignitz;lenzerwische;Lenzerwische;
schorndorf-wuerttemberg;schorndorf;Schorndorf;
schwerin-mecklenburg;schwerin;Schwerin;
simmern-hunsrueck;simmern;Simmern;
staufenberg-niedersachsen;staufenberg-03159034;Staufenberg;
sternberger-burg;sternberg;Sternberg;
stollberg-erzgebirge;stollbergerzgeb;Stollberg/Erzgeb.;
strassberg-plauen;strassberg;Straßberg;
vohburg-donau;vohburg-an-der-donau;Vohburg an der Donau;ja
waren-mueritz;waren;Waren;
wartenberg-hessen;wartenberg-06535019;Wartenberg;
wasserburg-inn;wasserburg-am-inn;Wasserburg am Inn;
weiden-oberpfalz;weiden-in-der-oberpfalz;Weiden in der Oberpfalz;ja
weilheim-oberbayern;weilheim-in-oberbayern;Weilheim in Oberbayern;
weimar-thueringen;weimar;Weimar;
weissenburg-bayern;weissenburg-in-bayern;Weißenburg in Bayern;
weisswasser-oberlausitz;weisswasserol;Weißwasser/O.L.;
wennigsen-deister;wennigsen;Wennigsen;
winsen-luhe;winsen;Winsen;
wuelknitz-koethen-anhalt;wuelknitz;Wülknitz;
zapel-hagenow;zapel;Zapel;
zell-mosel;zell;Zell;
zerbst-anhalt;zerbstanhalt;Zerbst/Anhalt;
zernitz;zernitz-lohm;Zernitz-Lohm;
ziegelhuette-birkweiler;birkweiler;Birkweiler;
zuelow-sternberg;zuelow;Zülow;
